,Unnamed: 0,Datetime,Tweet Id,Text,Username,Clean,Language
47,47,2023-01-28 17:08:30+00:00,1619381919149604865,"@Brian_Stoffel_ Growth Companies from Growth Sectors, like $XLK or $XLY are so Sensetive to Monetary Policy👌

When there was free money (interest rates 0%) and there was no need to fight inflation these Sectors are the best to Grow your Portfolio, now better underweight
 https://t.co/AoUvPNLFb1",AnalisisSeguro,Growth Companies Growth Sectors like XLK XLY Sensetive Monetary PolicyWhen free money (interest rates ) need fight inflation Sectors best Grow Portfolio better underweight,en
48,48,2023-01-28 16:42:37+00:00,1619375403893936128,@Compalt_ @SocDane And you are saying Spain is way behind when we have this inflation rate? https://t.co/iD1AdhMr2D,GavilanRM_,And saying Spain way inflation rate,en
49,49,2023-01-28 15:36:07+00:00,1619358669887672320,@ClownWorld_ she manifesting the entire inflation rates lol,dagz_do11a,manifesting entire inflation rates lol,en
50,50,2023-01-28 14:44:33+00:00,1619345692438446080,Chenle Inflation 😭,zeyyy_jyh,Chenle Inflation,en
53,53,2023-01-28 12:09:04+00:00,1619306562404904960,"@Richeydarian You must also put the consideration that there is a global inflation and geopolitics crisis that could still stagnate us, but to the economists and analysts surprise, we have grown to 7.6% beating almost everyone's expectations.",punongmakata,You consideration global inflation geopolitics crisis stagnate economists analysts surprise grown beating everyone's expectations,en
54,54,2023-01-28 11:06:32+00:00,1619290825665527808,"A few keys we learned from Hey BBK All Day Cafe's Rich and Maxine Sanz on minimizing the risks of inflation: flexibility, foresight, and transparency https://t.co/EsM0Rarqhb",FnBReport,A keys learned Hey BBK All Day Cafe's Rich Maxine Sanz minimizing risks inflation: flexibility foresight transparency,en
55,55,2023-01-28 11:04:22+00:00,1619290281572192257,"Great piece by @RalfRivas. 

Addressing the inflation of hopelessness requires that we think beyond traditional clinical approaches. Our distress must be understood not just as a personal incapacity but as something that deeply human, collective, and political.",docrjnaguit,Great piece Addressing inflation hopelessness requires think traditional clinical approaches Our distress understood personal incapacity deeply human collective political,en
56,56,2023-01-28 10:29:36+00:00,1619281532790902784,"@LadyofCrypto1 It can pull back and correct 20%. But if it’s 25bp &amp; inflation continues to drop, the worst is behind us.

Time to update the bias i think..",Evoke_89,It pull correct But bp inflation continues drop worst Time update bias think,en
57,57,2023-01-28 10:29:19+00:00,1619281459696787459,"@PTVph With 8% inflation...?
What benefits does it brings?",ed_dolar,With inflation What benefits brings,en
58,58,2023-01-28 09:48:17+00:00,1619271134192742400,"@mattomattik financial freedom. but first: learning to invest. i will be a doctor soon, and need to learn how to operate higher timeframes or inflation is gonna eat my wage for 20+ years",noneexistent8,financial freedom first: learning invest doctor soon need learn operate higher timeframes inflation gonna eat wage + years,en
59,59,2023-01-28 09:13:43+00:00,1619262435801858050,"The Bangko Sentral (@BangkoSentral) ng Pilipinas (BSP) has vowed to continue hiking its key policy rates “as necessary” to help prevent a further increase in the second-round effects of the elevated inflation rate. #BilyonaryoFeatures 
https://t.co/dbc8ZHYWU0",bilyonaryo_ph,The Bangko Sentral () Pilipinas (BSP) vowed continue hiking key policy rates necessary help prevent increase second-round effects elevated inflation rate,en
60,60,2023-01-28 08:51:58+00:00,1619256961899597824,"Bloomberg: Soaring Rice Price Shows Food Inflation Still Stalking the World
https://t.co/x2Zi7LOU7o",AldrinZigmundV,Bloomberg: Soaring Rice Price Shows Food Inflation Still Stalking World,en
63,63,2023-01-28 08:41:40+00:00,1619254370046185472,@Tobias_MUFC It's not the same with inflation*,MayMarch30,It's inflation*,en
64,64,2023-01-28 08:41:29+00:00,1619254322172420097,"@Tobias_MUFC The logic is fair tbh. I understand it's the same with inflation, but United was the most spender back at the time",MayMarch30,The logic fair tbh I understand it's inflation United spender time,en
65,65,2023-01-28 08:18:13+00:00,1619248465942581249,I always exceed my budget for groceries. Whose fault is it? Inflation or mine?,settybaby,I exceed budget groceries Whose fault Inflation,en
68,68,2023-01-28 05:41:41+00:00,1619209075061035008,So next you think about the market. So now you selling Gucci shirts for 300+ a piece base off the whole sale from the warehouse you purchased from. Inflation being at his highest Now Gucci is only an occasional fit you enjoy while target is your weekly buy,iNKedUp_Prynce,So think market So selling Gucci shirts + piece base sale warehouse purchased Inflation highest Now Gucci occasional fit enjoy target weekly buy,en
69,69,2023-01-28 05:26:36+00:00,1619205280872673280,"Oops, the next phase of Philippine food inflation? Asian rice prices
https://t.co/3g8cABJvFQ",3benson,Oops phase Philippine food inflation Asian rice prices,en
70,70,2023-01-28 05:00:00+00:00,1619198585664323585,"“We expect to be very successful in bringing down inflation,” Bangko Sentral ng Pilipinas Governor Felipe Medalla told an investment forum in Frankfurt.

https://t.co/7a51CoX9AW",interaksyon,We expect successful bringing inflation Bangko Sentral Pilipinas Governor Felipe Medalla told investment forum Frankfurt,en
71,71,2023-01-28 04:52:17+00:00,1619196641365590016,"My latest @rapplerdotcom piece. Growth was so high in 2022 because the economy dropped so low during the pandemic. Also, elections happened, as well as ""revenge spending."" Finally, we could have grown a lot faster if inflation wasn't so high.
https://t.co/ksdEa1tSNA",jcpunongbayan,"My latest piece Growth high economy dropped low pandemic Also elections happened ""revenge spending "" Finally grown lot faster inflation wasn't high",en
72,72,2023-01-28 04:31:22+00:00,1619191377996443649,Grocery time.. grabe inflation,M0YkoLoKoY,Grocery time grabe inflation,en
73,73,2023-01-28 03:56:26+00:00,1619182585619554306,Studies should be done on the link between inflation/economic hardship and self-harm/suicidal tendencies. https://t.co/PT6y0fStYc,jcpunongbayan,Studies link inflation/economic hardship self-harm/suicidal tendencies,en
74,74,2023-01-28 03:36:51+00:00,1619177660978196480,An inflation of hopelessness https://t.co/S7W0781DGA via @rapplerdotcom,k4tc4rl0,An inflation hopelessness,en
